member_id,name,party,x_handle,note
H-0303,中山 泰秀,自民,iloveyatchan,Wikidata P2002候補 Q8049965。要公式確認
H-0304,鍋島 勢理,国民,Serinabeshima69,Wikidata P2002候補 Q138238733。要公式確認
H-0305,仁木 博文,自民,NikiSupporters,Wikidata P2002候補 Q11376392。要公式確認
H-0306,西岡 秀子,国民,kokumin_ngsk,Xプロフィール/検索結果から自動登録。要公式確認
H-0307,西岡 義高,国民,osunishiokades,Wikidata P2002候補 Q130760769。要公式確認
H-0308,西園 勝秀,中道,nishizono_katsu,Wikidata P2002候補 Q130831088。要公式確認
H-0309,西田 薫,維新,nishidakaoru,Wikidata P2002候補 Q130730409。要公式確認
H-0310,西田 昭二,自民,hatibe47,Wikidata P2002候補 Q41770784。要公式確認
H-0311,西野 太亮,自民,nishino_daisuke,Wikidata P2002候補 Q41771037。要公式確認
H-0312,西村 明宏,自民,a_nishimura_716,Wikidata P2002候補 Q4700938。要公式確認
H-0313,西村 智奈美,中道,chinami_niigata,Wikidata P2002候補 Q5100105。要公式確認
H-0314,西村 康稔,自民,nishy03,Wikidata P2002候補 Q8050121。要公式確認
H-0315,西銘 恒三郎,自民,NishimeKosaburo,Wikidata P2002候補 Q11629931。要公式確認
H-0316,西山 尚利,自民,nishiyama_n_226,Wikidata P2002候補 Q138129992。要公式確認
H-0317,新田 章文,自民,nitta_shobun,Wikidata P2002候補 Q123405850。要公式確認
H-0318,丹羽 秀樹,自民,niwahideki,Wikidata P2002候補 Q5752415。要公式確認
H-0319,額賀 福志郎,自民,2946nukaga,Wikidata P2002候補 Q1207174。要公式確認
H-0320,沼崎 満子,中道,mnumazaki0224,Wikidata P2002候補 Q130827109。要公式確認
H-0321,根本 拓,自民,taku_nemoto_,Wikidata P2002候補 Q130726958。要公式確認
H-0322,根本 幸典,自民,nemotoyukinori,Wikidata P2002候補 Q11536382。要公式確認
H-0323,野田 聖子,自民,noda_seiko93,Wikidata P2002候補 Q459698。要公式確認
H-0324,野田 佳彦,中道,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0325,野中 厚,自民,nonakajimusho,Wikidata P2002候補 Q11645002。要公式確認
H-0326,野間 健,中道,iT2id4lCBHRq1l5,Wikidata P2002候補 Q11646177。要公式確認
H-0327,野村 美穂,国民,nomuramiho3434,Wikidata P2002候補 Q138357289。要公式確認
H-0328,萩生田 光一,自民,hagiuda_ko1,Wikidata P2002候補 Q6426211。要公式確認
H-0329,萩原 佳,維新,hagihara_kei,Wikidata P2002候補 Q130726953。要公式確認
H-0330,橋本 岳,自民,ga9_h,Wikidata P2002候補 Q5517695。要公式確認
H-0331,橋本 幹彦,国民,Hashimoto_Mkhk,Wikidata P2002候補 Q130741284。要公式確認
H-0332,長谷川 淳二,自民,HasegawaJunji,Wikidata P2002候補 Q109359179。要公式確認
H-0333,畑野 君枝,共産,hatanokimie,Wikidata P2002候補 Q11578505。要公式確認
H-0334,鳩山 二郎,自民,hatoyamajiro,Wikidata P2002候補 Q17219387。要公式確認
H-0335,葉梨 康弘,自民,874ibaraki,Wikidata P2002候補 Q8049977。要公式確認
H-0336,馬場 伸幸,維新,baba_ishin,Wikidata P2002候補 Q11667848。要公式確認
H-0337,浜田 靖一,自民,yasukazuhamada,Xプロフィール/検索結果から自動登録。要公式確認
H-0338,浜地 雅一,中道,hamachi_m,Xプロフィール/検索結果から自動登録。要公式確認
H-0339,林 拓海,みらい,TakumiHayashi,Wikidata P2002候補 Q138115623。要公式確認
H-0340,林 芳正,自民,office_yosimasa,Xプロフィール/検索結果から自動登録。要公式確認
H-0341,原田 直樹,中道,NaokiHarada1122,Wikidata P2002候補 Q138332880。要公式確認
H-0342,原山 大亮,維新,harayama_ishin,Wikidata P2002候補 Q138340238。要公式確認
H-0343,東田 淳平,自民,higashida_jp,Wikidata P2002候補 Q138351543。要公式確認
H-0344,日野 紗里亜,国民,saria_hino,Wikidata P2002候補 Q130719714。要公式確認
H-0345,平井 卓也,自民,hiratakuchan,Wikidata P2002候補 Q7678622。要公式確認
H-0346,平口 洋,自民,hiraguchi0801,Wikidata P2002候補 Q5770815。要公式確認
H-0347,平沢 勝栄,自民,katsueihirasawa,Wikidata P2002候補 Q6378065。要公式確認
H-0348,平沼 正二郎,自民,HiranumaOkayama,Wikidata P2002候補 Q41805276。要公式確認
H-0349,平林 晃,中道,hb_hirabayashi,Wikidata P2002候補 Q109598959。要公式確認
H-0350,広瀬 建,自民,hiroseken_oita,Wikidata P2002候補 Q130710525。要公式確認
H-0351,深作 ヘスス,国民,fukasakukj,Wikidata P2002候補 Q130719882。要公式確認
H-0352,深澤 陽一,自民,fukazawayoichi,Wikidata P2002候補 Q92672402。要公式確認
H-0353,福重 隆浩,中道,komeifukushige,Wikidata P2002候補 Q109363078。要公式確認
H-0354,福田 徹,国民,Toru_Fukuta,Wikidata P2002候補 Q130726956。要公式確認
H-0355,福田 かおる,自民,kaoru_gohan,Wikidata P2002候補 Q130726947。要公式確認
H-0356,福田 達夫,自民,TatsuoFukuda,Wikidata P2002候補 Q2506910。要公式確認
H-0357,福原 淳嗣,自民,fukuharajunji,Wikidata P2002候補 Q21701643。要公式確認
H-0358,藤井 比早之,自民,FujiiHisayuki,Wikidata P2002候補 Q11622818。要公式確認
H-0359,藤沢 忠盛,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0360,藤田 ひかる,自民,Fujita__Hikaru,Wikidata P2002候補 Q138094326。要公式確認
H-0361,藤田 文武,維新,fumi_fuji,Wikidata P2002候補 Q41770882。要公式確認
H-0362,藤田 誠,自民,shigotonin,Wikidata P2002候補 Q138304246。要公式確認
H-0363,藤田 洋司,自民,yoji_fujita_22,Wikidata P2002候補 Q138339362。要公式確認
H-0364,藤丸 敏,自民,fujimarusatoshi,Wikidata P2002候補 Q11622647。要公式確認
H-0365,藤原 崇,自民,iwate_fujiwara,Wikidata P2002候補 Q11623218。要公式確認
H-0366,文月 涼,自民,FuzukiRyo,Wikidata P2002候補 Q138306018。要公式確認
H-0367,船田 元,自民,funadahajime,Wikidata P2002候補 Q5639959。要公式確認
H-0368,古井 康介,自民,KOSUKEFURUI,Wikidata P2002候補 Q110403236。要公式確認
H-0369,古川 あおい,みらい,AoiFurukawa,Wikidata P2002候補 Q138129349。要公式確認
H-0370,古川 直季,自民,FurukawaNaoki,Wikidata P2002候補 Q109346697。要公式確認
H-0371,古川 元久,国民,Fullgen,Wikidata P2002候補 Q1949760。要公式確認
H-0372,古川 康,自民,furukawa_yasu,Wikidata P2002候補 Q2576940。要公式確認
H-0373,古川 禎久,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0374,古屋 圭司,自民,Furuya_keiji,Wikidata P2002候補 Q1704969。要公式確認
H-0375,穂坂 泰,自民,Hosaka_saitama4,Wikidata P2002候補 Q41770690。要公式確認
H-0376,星野 剛士,自民,hossys,Wikidata P2002候補 Q11513088。要公式確認
H-0377,細田 健一,自民,hosoda_kenichi,Wikidata P2002候補 Q11606064。要公式確認
H-0378,細野 豪志,自民,hosono_54,Wikidata P2002候補 Q1135729。要公式確認
H-0379,堀内 詔子,自民,genkihoriuchi,Wikidata P2002候補 Q11427301。要公式確認
H-0380,本田 太郎,自民,kyoto_honda,Wikidata P2002候補 Q41770873。要公式確認
H-0381,前川 恵,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0382,前原 誠司,維新,Maehara2016,Wikidata P2002候補 Q132280。要公式確認
H-0383,牧島 かれん,自民,makishimakaren,Wikidata P2002候補 Q11570409。要公式確認
H-0384,牧野 俊一,参政,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0385,松下 英樹,自民,matsushita_uq,Wikidata P2002候補 Q138118497。要公式確認
H-0386,松島 みどり,自民,matusimamidori,Wikidata P2002候補 Q6842917。要公式確認
H-0387,松野 博一,自民,MatsunoHirokazu,Wikidata P2002候補 Q5770251。要公式確認
H-0388,松本 泉,自民,izumi_kashiwa,Wikidata P2002候補 Q138304111。要公式確認
H-0389,松本 尚,自民,hmatsu63,Wikidata P2002候補 Q11531011。要公式確認
H-0390,松本 洋平,自民,matsumoto_yohei,Wikidata P2002候補 Q5680924。要公式確認
H-0391,丸尾 なつ子,自民,maruonatsuko,Xプロフィール/検索結果から自動登録。要公式確認
H-0392,丸川 珠代,自民,marukawatamayo,Wikidata P2002候補 Q7680979。要公式確認
H-0393,丸田 康一郎,自民,koichiro_maruta,Wikidata P2002候補 Q138298988。要公式確認
H-0394,三木 圭恵,維新,keemiki,Wikidata P2002候補 Q11355593。要公式確認
H-0395,水野よしひこ,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0396,三反園 訓,自民,satoshimitazono,Wikidata P2002候補 Q11354596。要公式確認
H-0397,三谷 英弘,自民,mitani_h,Wikidata P2002候補 Q11357294。要公式確認
H-0398,三ッ林 裕巳,自民,hiromitsubayasi,Wikidata P2002候補 Q11353993。要公式確認
H-0399,峰島 侑也,みらい,mineshima_mirai,Wikidata P2002候補 Q138049851。要公式確認
H-0400,美延 映夫,維新,minobeteruo,Wikidata P2002候補 Q41770900。要公式確認
H-0401,御法川 信英,自民,minorikawa_nobu,Wikidata P2002候補 Q49988。要公式確認
H-0402,三原 朝利,自民,mihara_asato,Wikidata P2002候補 Q138296955。要公式確認
H-0403,宮内 秀樹,自民,MiyauchiHideki,Wikidata P2002候補 Q11453336。要公式確認
H-0404,宮崎 政久,自民,Miyazaki_kirin,Wikidata P2002候補 Q11454333。要公式確認
H-0405,宮路 拓馬,自民,miyajitakuma,公式サイトとXプロフィールで確認
H-0406,宮下 一郎,自民,michirojim,Wikidata P2002候補 Q5986289。要公式確認
H-0407,向山 淳,自民,MukoyamaJun,Wikidata P2002候補 Q130726946。要公式確認
H-0408,向山 好一,国民,mukoyama_kobe,Wikidata P2002候補 Q11415936。要公式確認
H-0409,武藤 かず子,みらい,moo_mirai,Wikidata P2002候補 Q138075791。要公式確認
H-0410,武藤 容治,自民,mutouyouji,Wikidata P2002候補 Q8054534。要公式確認
H-0411,宗清 皇一,自民,MunekiyoOffice,Wikidata P2002候補 Q18818207。要公式確認
H-0412,村井 英樹,自民,muraihideki,Wikidata P2002候補 Q11523004。要公式確認
H-0413,村岡 敏英,国民,Muraoka_Toshi,Wikidata P2002候補 Q11523193。要公式確認
H-0414,村上 誠一郎,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0415,村上 智信,維新,cv3cnoamlgwcuy0,Wikidata P2002候補 Q130739594。要公式確認
H-0416,村木 汀,自民,Muraki_Nagisa,Wikidata P2002候補 Q138133305。要公式確認
H-0417,茂木 敏充,自民,moteging,Wikidata P2002候補 Q1655453。要公式確認
H-0418,森 英介,無,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0419,森 ようすけ,国民,mori_yosuke_,Xプロフィール/検索結果から自動登録。要公式確認
H-0420,森下 千里,自民,ChiiChiiiii,Wikidata P2002候補 Q3547905。要公式確認
H-0421,森原 紀代子,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0422,森山 裕,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0423,盛山 正仁,自民,moriyama_kobe,Wikidata P2002候補 Q6782391。要公式確認
H-0424,保岡 宏武,自民,yasuokahirotake,Wikidata P2002候補 Q41805182。要公式確認
H-0425,簗 和生,自民,Yana_Kazuo,Xプロフィール/検索結果から自動登録。要公式確認
H-0426,山岡 達丸,中道,tatumaru1979,Wikidata P2002候補 Q11467842。要公式確認
H-0427,山際 大志郎,自民,yamagiwa001,Wikidata P2002候補 Q5209617。要公式確認
H-0428,山口 俊一,自民,yamashun0228,Wikidata P2002候補 Q7505080。要公式確認
H-0429,山口 晋,自民,yamaguchisusumu,Wikidata P2002候補 Q109344952。要公式確認
H-0430,山口 壯,自民,244yamaguchi,Wikidata P2002候補 Q704345。要公式確認
H-0431,山崎 正恭,中道,masayasu211bob,Wikidata P2002候補 Q109598960。要公式確認
H-0432,山下 史守朗,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0433,山下 貴司,自民,YAMASHITA_OK,Wikidata P2002候補 Q11466071。要公式確認
H-0434,山田 瑛理,みらい,yamadaeri1982,Wikidata P2002候補 Q138135640。要公式確認
H-0435,山田 賢司,自民,Ymd_Knj,Wikidata P2002候補 Q11470671。要公式確認
H-0436,山田 美樹,自民,yamada_miki,Wikidata P2002候補 Q11470608。要公式確認
H-0437,山田 基靖,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0438,山本 香苗,中道,Yamamotokanae,Wikidata P2002候補 Q6360206。要公式確認
H-0439,山本 左近,自民,SakonYamamoto,Wikidata P2002候補 Q171394。要公式確認
H-0440,山本ジョージ,無,yamamotogeorge0,Xプロフィール/検索結果から自動登録。要公式確認
H-0441,山本 深,自民,yamamoto_shin84,Wikidata P2002候補 Q138136155。要公式確認
H-0442,山本 大地,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0443,山本 裕三,自民,yzymmt,Wikidata P2002候補 Q138312776。要公式確認
H-0444,横田 光弘,維新,YOKOTA_Ishin,Wikidata P2002候補 Q138088259。要公式確認
H-0445,吉川 里奈,参政,rina_yoshikawa_,Wikidata P2002候補 Q130707085。要公式確認
H-0446,吉田 真次,自民,yoshida706,Wikidata P2002候補 Q117834697。要公式確認
H-0447,吉田 宣弘,中道,yoshida_komei,Wikidata P2002候補 Q21703015。要公式確認
H-0448,吉田 有理,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0449,吉村 悠,自民,haruka_1023,Xプロフィール/検索結果から自動登録。要公式確認
H-0450,米内 紘正,自民,yonai_hiromasa,Wikidata P2002候補 Q138045292。要公式確認
H-0451,笠 浩史,中道,hirofumi_ryu,Wikidata P2002候補 Q5770152。要公式確認
H-0452,若狹 清史,維新,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0453,若林 健太,自民,kenta_waka,Wikidata P2002候補 Q1739044。要公式確認
H-0454,若宮 健嗣,自民,wakamiya7788,Wikidata P2002候補 Q6389383。要公式確認
H-0455,若山 慎司,自民,wakayama_shinji,Wikidata P2002候補 Q130732952。要公式確認
H-0456,鷲尾 英一郎,自民,washioeiichirou,Wikidata P2002候補 Q5349200。要公式確認
H-0457,早稲田 ゆき,中道,waseda_yuki,Xプロフィール/検索結果から自動登録。要公式確認
H-0458,和田 政宗,参政,wadamasamune,Wikidata P2002候補 Q11418015。要公式確認
H-0459,和田 義明,自民,ywada_hokkaido5,Wikidata P2002候補 Q23907516。要公式確認
H-0460,渡辺 藍理,参政,watanabe_airi_9,Wikidata P2002候補 Q138336965。要公式確認
H-0461,渡辺 勝幸,自民,katsuyuki510,Wikidata P2002候補 Q138049410。要公式確認
H-0462,渡辺 孝一,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0463,渡辺 真太朗,無,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0464,渡辺 創,中道,MWatasou,Wikidata P2002候補 Q109335900。要公式確認
H-0465,渡辺 博道,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0001,青木 愛,立憲,aoki12ku,Xプロフィール/検索結果から自動登録。要公式確認
S-0002,青木 一彦,自民,kazuhiko__aoki,Wikidata P2002候補 Q1737543。要公式確認
S-0003,青島 健太,維新,AoshimaKenta4,Xプロフィール/検索結果から自動登録。要公式確認
S-0004,青山 繁晴,自民,aoyamashigeharu,Wikidata P2002候補 Q11661317。要公式確認
S-0005,赤松 健,自民,KenAkamatsu,Wikidata P2002候補 Q311589。要公式確認
S-0006,秋野 公造,公明,akinokozo,Wikidata P2002候補 Q11595863。要公式確認
S-0007,浅尾 慶一郎,自民,asao_keiichiro,Wikidata P2002候補 Q1737907。要公式確認
S-0008,浅田 均,維新,asalogue,Wikidata P2002候補 Q11557153。要公式確認
S-0009,朝日 健太郎,自民,kentaroasahi,Wikidata P2002候補 Q6391997。要公式確認
S-0010,阿達 雅志,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0011,足立 康史,民主,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0012,安達 悠司,参政,adachi3kyoto,Wikidata P2002候補 Q135642035。要公式確認
S-0013,有村 治子,自民,arimura_haruko,Wikidata P2002候補 Q11516489。要公式確認
S-0014,安藤 裕,参政,andouhiroshi,Wikidata P2002候補 Q11451405。要公式確認
S-0015,安野 貴博,無所属,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0016,生稲 晃子,自民,ikuinaakiko1917,Wikidata P2002候補 Q2829039。要公式確認
S-0017,石井 準一,自民,Junichi141,Wikidata P2002候補 Q6313056。要公式確認
S-0018,石井 浩郎,自民,hirooishii6,Wikidata P2002候補 Q1620262。要公式確認
S-0019,石井 苗子,維新,ishii_ishin,Wikidata P2002候補 Q11585080。要公式確認
S-0020,石井 めぐみ,維新,toridenomegumi,Xプロフィール/検索結果から自動登録。要公式確認
S-0021,石垣 のりこ,立憲,norinotes,Wikidata P2002候補 Q23947229。要公式確認
S-0022,石川 博崇,公明,Hiro_Ishikawa,Wikidata P2002候補 Q11585722。要公式確認
S-0023,石田 昌宏,自民,masahiroishida,Wikidata P2002候補 Q16264050。要公式確認
S-0024,石橋 通宏,立憲,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0025,泉 房穂,立憲,izumi_akashi,Xプロフィール/検索結果から自動登録。要公式確認
S-0026,伊勢崎 賢治,れ新,isezakikenji,Wikidata P2002候補 Q11379014。要公式確認
S-0027,礒崎 哲史,民主,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0028,磯崎 仁彦,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0029,伊藤 孝江,公明,ito_takae,Wikidata P2002候補 Q26044244。要公式確認
S-0030,伊藤 孝恵,民主,itotakae0630,Wikidata P2002候補 Q26044232。要公式確認
S-0031,伊藤 辰夫,民主,itoh_tatsuo,Xプロフィール/検索結果から自動登録。要公式確認
S-0032,井上 義行,自民,inoue_yoshiyuki,Wikidata P2002候補 Q11373187。要公式確認
S-0033,猪口 邦子,自民,kunikoinoguchi,Xプロフィールで確認
S-0034,猪瀬 直樹,維新,inosenaoki,Wikidata P2002候補 Q1280894。要公式確認
S-0035,伊波 洋一,沖縄,ihayoichi,Wikidata P2002候補 Q11379661。要公式確認
S-0036,今井 絵理子,自民,Eriko_imai,Wikidata P2002候補 Q3056615。要公式確認
S-0037,岩渕 友,共産,buchitom,Wikidata P2002候補 Q26043966。要公式確認
S-0038,岩本 剛人,自民,iwamoto_tsuyo,Wikidata P2002候補 Q65556787。要公式確認
S-0039,岩本 麻奈,参政,mana_iwamoto,Wikidata P2002候補 Q21699132。要公式確認
S-0040,いんどう 周作,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0041,上田 勇,公明,IsamuUeda,Wikidata P2002候補 Q11359720。要公式確認
S-0042,上田 清司,民主,FeFQFsgref5wS6U,Xプロフィール/検索結果から自動登録。要公式確認
S-0043,上野 ほたる,維新,uenohotaru,Xプロフィール/検索結果から自動登録。要公式確認
S-0044,上野 通子,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0045,牛田 茉友,民主,ushidamayu__,Wikidata P2002候補 Q11570204。要公式確認
S-0046,臼井 正一,自民,usuishoichi,Xプロフィール/検索結果から自動登録。要公式確認
S-0047,打越 さく良,立憲,sakurauchikoshi,Wikidata P2002候補 Q65556997。要公式確認
S-0048,梅村 みずほ,参政,mizuho_umemura,Wikidata P2002候補 Q11537690。要公式確認
S-0049,江島 潔,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0050,江原 くみ子,民主,ekumikoyo,Xプロフィール/検索結果から自動登録。要公式確認
S-0051,大家 敏志,自民,satoshi_oie,Wikidata P2002候補 Q11434490。要公式確認
S-0052,大島 九州男,れ新,oshima_kusuo,Wikidata P2002候補 Q11434840。要公式確認
S-0053,大津 力,参政,PygkbVV1E2YvWm3,Wikidata P2002候補 Q135642336。要公式確認
S-0054,岡崎 太,維新,okazakifutoshi,Wikidata P2002候補 Q135432303。要公式確認
S-0055,岡田 直樹,自民,okada3769,Wikidata P2002候補 Q6964565。要公式確認
S-0056,小川 克巳,自民,ogawa_katsu3,Wikidata P2002候補 Q27150792。要公式確認
S-0057,奥田 ふみよ,れ新,fumiyo_fukuoka,Xプロフィール/検索結果から自動登録。要公式確認
S-0058,奥村 祥大,民主,YOSHI_OKUMURA29,Wikidata P2002候補 Q135434616。要公式確認
S-0059,小沢 雅仁,立憲,ozawamasahito,Wikidata P2002候補 Q66365165。要公式確認
S-0060,越智 俊之,自民,toshiyuki_ochi,Wikidata P2002候補 Q113566603。要公式確認
S-0061,尾辻 朋実,無所属,tomomi_otsuji,Wikidata P2002候補 Q135448465。要公式確認
S-0062,鬼木 誠,立憲,onikidon,Xプロフィール/検索結果から自動登録。要公式確認
S-0063,小野田 紀美,自民,onoda_kimi,Wikidata P2002候補 Q25939253。要公式確認
S-0064,かごしま 彰宏,民主,kagoshimammoth,Xプロフィール/検索結果から自動登録。要公式確認
S-0065,梶原 大介,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0066,加田 裕之,自民,kadahiroyuki,Xプロフィール/検索結果から自動登録。要公式確認
S-0067,嘉田 由紀子,維新,kadayukiko,Wikidata P2002候補 Q152728。要公式確認
S-0068,片山 さつき,自民,satsukikatayama,Wikidata P2002候補 Q7426488。要公式確認
S-0069,片山 大介,維新,d_katayama1006,Xプロフィール/検索結果から自動登録。要公式確認
S-0070,勝部 賢志,立憲,katsubekenji,Wikidata P2002候補 Q65556913。要公式確認
S-0071,加藤 明良,自民,katoakiyoshi,Wikidata P2002候補 Q113026122。要公式確認
S-0072,金子 道仁,維新,kanekomichihito,Wikidata P2002候補 Q113566592。要公式確認
S-0073,かまやち 敏,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0074,神谷 宗幣,参政,jinkamiya,Wikidata P2002候補 Q11590855。要公式確認
S-0075,神谷 政幸,自民,kamiyamasayuki_,Wikidata P2002候補 Q113566601。要公式確認
S-0076,川合 孝典,民主,T_KAWAI_SANGIIN,Wikidata P2002候補 Q7677198。要公式確認
S-0077,川村 雄大,公明,yudai_kawamura,Wikidata P2002候補 Q135434687。要公式確認
S-0078,岸 真紀子,立憲,kishimakiko_j,Wikidata P2002候補 Q66365101。要公式確認
S-0079,北村 経夫,自民,kitamuraoffice,Wikidata P2002候補 Q17129442。要公式確認
S-0080,北村 晴男,保守,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0081,木戸口 英司,立憲,ekidoguchi,Wikidata P2002候補 Q26043933。要公式確認
S-0082,木村 英子,れ新,eikokimura,Wikidata P2002候補 Q65730363。要公式確認
S-0083,吉良 よし子,共産,kirajimusyo,Xプロフィール/検索結果から自動登録。要公式確認
S-0084,串田 誠一,維新,KushidaOf,Wikidata P2002候補 Q41770750。要公式確認
S-0085,窪田 哲也,公明,Kubota_Tetsuya1,Wikidata P2002候補 Q113566596。要公式確認
S-0086,熊谷 裕人,立憲,KumagaiHiroto,Wikidata P2002候補 Q65556971。要公式確認
S-0087,見坂 茂範,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0088,小池 晃,共産,koike_akira,Wikidata P2002候補 Q418771。要公式確認
S-0089,上月 良祐,自民,kozuki_ryosuke,Wikidata P2002候補 Q17130344。要公式確認
S-0090,郡山 りょう,立憲,ryo_koriyama,Xプロフィール/検索結果から自動登録。要公式確認
S-0091,古賀 千景,立憲,kogachikage,Wikidata P2002候補 Q113566587。要公式確認
S-0092,古賀 友一郎,自民,KogaYuichiro_O,Wikidata P2002候補 Q17157982。要公式確認
S-0093,古賀 之士,立憲,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0094,小島 とも子,立憲,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0095,古庄 玄知,自民,koshoharutomo,Wikidata P2002候補 Q65617562。要公式確認
S-0096,後藤 翔太,参政,shotagotoh0107,Wikidata P2002候補 Q11488597。要公式確認
S-0097,後藤 斎,民主,goto_hitoshi_,Wikidata P2002候補 Q5872336。要公式確認
S-0098,小西 洋之,立憲,konishihiroyuki,Wikidata P2002候補 Q11463616。要公式確認
S-0099,小林 一大,自民,KYRKR_Kobayashi,Wikidata P2002候補 Q113566560。要公式確認
S-0100,小林 孝一郎,自民,kobayashi_info,Wikidata P2002候補 Q135598212。要公式確認
S-0101,小林 さやか,民主,sayaka_koba1983,Xプロフィール/検索結果から自動登録。要公式確認
S-0102,こやり 隆史,自民,koyari_shiga,Xプロフィール/検索結果から自動登録。要公式確認
S-0103,齊藤 健一郎,自民,aqua_saito,Wikidata P2002候補 Q111113981。要公式確認
S-0104,斎藤 嘉隆,立憲,saito_yoshitaka,Wikidata P2002候補 Q11500523。要公式確認
S-0105,酒井 庸行,自民,YasuyukiSakai,Wikidata P2002候補 Q17158633。要公式確認
S-0106,櫻井 祥子,参政,shoko_sakurai_,Wikidata P2002候補 Q135642233。要公式確認
S-0107,櫻井 充,自民,drsakurai,Xプロフィール/検索結果から自動登録。要公式確認
S-0108,佐々木 雅文,公明,masafumi_sasaki,Wikidata P2002候補 Q135689825。要公式確認
S-0109,佐々木 りえ,維新,sasaki_rie,Xプロフィール/検索結果から自動登録。要公式確認
S-0110,佐藤 啓,自民,sato_kei_nara,Wikidata P2002候補 Q28682073。要公式確認
S-0111,里見 隆治,公明,satomi_ryuji,Wikidata P2002候補 Q26045720。要公式確認
S-0112,塩入 清香,参政,sayaohgi,Wikidata P2002候補 Q135422570。要公式確認
S-0113,塩村 あやか,立憲,shiomuraoffice,Xプロフィール/検索結果から自動登録。要公式確認
S-0114,柴 愼一,立憲,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0115,柴田 巧,維新,shibata_twi,Wikidata P2002候補 Q11534806。要公式確認
S-0116,自見 はなこ,自民,jimihanako,Xプロフィール/検索結果から自動登録。要公式確認
S-0117,清水 真人,自民,shimizu_0310,Wikidata P2002候補 Q65556962。要公式確認
S-0118,下野 六太,公明,shimonorokuta,Wikidata P2002候補 Q65557053。要公式確認
S-0119,白川 容子,共産,YoukoSirakawa,Wikidata P2002候補 Q41805225。要公式確認
S-0120,進藤 金日子,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0121,榛葉 賀津也,民主,SHIMBA_OFFICE,Wikidata P2002候補 Q6345808。要公式確認
S-0122,末松 信介,自民,SSS_suematsu,Wikidata P2002候補 Q7497773。要公式確認
S-0123,杉 久武,公明,hisatake_sugi,Wikidata P2002候補 Q17159888。要公式確認
S-0124,杉尾 秀哉,立憲,TeamSugioHideya,Wikidata P2002候補 Q11521820。要公式確認
S-0125,杉本 純子,参政,junko_aichi3,Wikidata P2002候補 Q135642289。要公式確認
S-0126,鈴木 大地,自民,daichi55,Wikidata P2002候補 Q1157528。要公式確認
S-0127,鈴木 宗男,自民,official_s_mune,Wikidata P2002候補 Q840609。要公式確認
S-0128,石 平,維新,liyonyon,Xプロフィール/検索結果から自動登録。要公式確認
S-0129,関口 昌一,無所属,sekiguchi0229,Wikidata P2002候補 Q6782441。要公式確認
S-0130,大門 実紀史,共産,mikishi_daimon1,Wikidata P2002候補 Q6849902。要公式確認
S-0131,高木 かおり,維新,takagi_kaori_,Xプロフィール/検索結果から自動登録。要公式確認
S-0132,高木 真理,立憲,TakagiMari,Wikidata P2002候補 Q113566546。要公式確認
S-0133,高橋 克法,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0134,高橋 はるみ,自民,harumi_takahasi,Wikidata P2002候補 Q459145。要公式確認
S-0135,高橋 光男,公明,takahashimitsu7,Wikidata P2002候補 Q65557029。要公式確認
S-0136,高良 沙哉,沖縄,TakaraSachika,Wikidata P2002候補 Q135471809。要公式確認
S-0137,滝波 宏文,自民,HiroTakinami,Wikidata P2002候補 Q17160669。要公式確認
